"","NEST_NO","SPECIES","DATE","OBS","EGGNO","LENGTH","WIDTH","LINK","WEBTAG","WEIGHT","RADIO","TAGDATE","Year"
"117","145","SPEI",1993-06-04,"TLM",4,66.5,42.6,NA,NA,NA,NA,NA,"1993"
"118","145","SPEI",1993-06-04,"TLM",5,68,43.6,NA,NA,NA,NA,NA,"1993"
"119","146","SPEI",1993-06-04,"TLM",1,70.3,44.9,NA,NA,NA,NA,NA,"1993"
"120","146","SPEI",1993-06-04,"TLM",2,65.2,45.1,NA,NA,NA,NA,NA,"1993"
"121","146","SPEI",1993-06-04,"TLM",3,67.3,46,NA,NA,NA,NA,NA,"1993"
"122","146","SPEI",1993-06-04,"TLM",4,67.7,44.4,NA,NA,NA,NA,NA,"1993"
"123","146","SPEI",1993-06-04,"TLM",5,65.8,45,NA,NA,NA,NA,NA,"1993"
"124","146","SPEI",1993-06-04,"TLM",6,66.9,45.6,NA,NA,NA,NA,NA,"1993"
"125","147","SPEI",1993-06-05,"TLM",1,66.2,44.9,NA,0,NA,NA,NA,"1993"
"126","147","SPEI",1993-06-05,"TLM",2,67.7,43.9,NA,NA,NA,NA,NA,"1993"
"127","147","SPEI",1993-06-05,"TLM",3,65,43.9,NA,NA,NA,NA,NA,"1993"
"128","147","SPEI",1993-06-05,"TLM",4,65.5,44.5,NA,NA,NA,NA,NA,"1993"
"129","147","SPEI",1993-06-05,"TLM",5,63.7,43.7,NA,NA,NA,NA,NA,"1993"
"130","150","SPEI",1993-06-05,"TLM",1,69.5,45.9,NA,NA,NA,NA,NA,"1993"
"131","150","SPEI",1993-06-05,"TLM",2,67,46.1,NA,NA,NA,NA,NA,"1993"
"132","150","SPEI",1993-06-05,"TLM",3,68,46.2,NA,NA,NA,NA,NA,"1993"
"133","150","SPEI",1993-06-05,"TLM",4,64.1,44.9,NA,NA,NA,NA,NA,"1993"
"134","150","SPEI",1993-06-05,"TLM",5,65,45.8,NA,NA,NA,NA,NA,"1993"
"135","150","SPEI",1993-06-05,"TLM",6,66.4,45.8,NA,NA,NA,NA,NA,"1993"
"136","151","SPEI",1993-06-05,"TLM",1,68.7,44.6,NA,NA,NA,NA,NA,"1993"
"137","151","SPEI",1993-06-05,"TLM",2,69.3,45.4,NA,NA,NA,NA,NA,"1993"
"138","151","SPEI",1993-06-05,"TLM",3,67,45.7,NA,NA,NA,NA,NA,"1993"
"139","152","SPEI",1993-06-05,"TLM",1,67.6,48,NA,NA,NA,NA,NA,"1993"
"140","152","SPEI",1993-06-05,"TLM",2,68.2,47.5,NA,NA,NA,NA,NA,"1993"
"141","152","SPEI",1993-06-05,"TLM",3,68.3,48.2,NA,NA,NA,NA,NA,"1993"
"142","152","SPEI",1993-06-05,"TLM",4,68.5,48.1,NA,NA,NA,NA,NA,"1993"
"143","152","SPEI",1993-06-05,"TLM",5,66.1,48.5,NA,NA,NA,NA,NA,"1993"
"144","152","SPEI",1993-06-05,"TLM",6,68.1,47.9,NA,NA,NA,NA,NA,"1993"
"145","156","SPEI",1993-06-06,"TLM",1,67.5,43.9,NA,NA,NA,NA,NA,"1993"
"146","156","SPEI",1993-06-06,"TLM",2,65.8,46,NA,NA,NA,NA,NA,"1993"
"147","156","SPEI",1993-06-06,"TLM",3,70.5,45.4,NA,NA,NA,NA,NA,"1993"
"148","156","SPEI",1993-06-06,"TLM",4,70.5,45,NA,NA,NA,NA,NA,"1993"
"149","156","SPEI",1993-06-06,"TLM",5,68.1,46,NA,NA,NA,NA,NA,"1993"
"150","156","SPEI",1993-06-06,"TLM",6,68.3,46.3,NA,NA,NA,NA,NA,"1993"
"151","157","SPEI",1993-06-07,"TLM",1,64.9,47.1,NA,NA,NA,NA,NA,"1993"
"152","157","SPEI",1993-06-07,"TLM",2,66.2,47.5,NA,NA,NA,NA,NA,"1993"
"153","157","SPEI",1993-06-07,"TLM",3,65.7,46.1,NA,NA,NA,NA,NA,"1993"
"154","157","SPEI",1993-06-07,"TLM",4,68.1,45.8,NA,NA,NA,NA,NA,"1993"
"155","157","SPEI",1993-06-07,"TLM",5,63.5,47.4,NA,NA,NA,NA,NA,"1993"
"156","158","SPEI",1993-06-07,"TLM",1,69,43.7,NA,NA,NA,NA,NA,"1993"
"157","158","SPEI",1993-06-07,"TLM",2,62.1,44.1,NA,NA,NA,NA,NA,"1993"
"158","158","SPEI",1993-06-07,"TLM",3,65.3,45.2,NA,NA,NA,NA,NA,"1993"
"159","158","SPEI",1993-06-07,"TLM",4,67.4,45.5,NA,NA,NA,NA,NA,"1993"
"160","158","SPEI",1993-06-07,"TLM",5,63.8,44.6,NA,NA,NA,NA,NA,"1993"
"161","159","SPEI",1993-06-09,"TLM",1,69.2,45.6,NA,NA,NA,NA,NA,"1993"
"162","159","SPEI",1993-06-09,"TLM",2,66.1,43.1,NA,NA,NA,NA,NA,"1993"
"163","159","SPEI",1993-06-09,"TLM",3,69.5,46,NA,NA,NA,NA,NA,"1993"
"164","159","SPEI",1993-06-09,"TLM",4,66.9,43.4,NA,NA,NA,NA,NA,"1993"
"165","159","SPEI",1993-06-09,"TLM",5,68.8,44.8,NA,NA,NA,NA,NA,"1993"
"166","159","SPEI",1993-06-09,"TLM",6,68.9,45.2,NA,NA,NA,NA,NA,"1993"
"167","160","SPEI",1993-06-10,"TLM",1,69.4,43.6,NA,NA,NA,NA,NA,"1993"
"168","160","SPEI",1993-06-10,"TLM",2,64.9,44.9,NA,NA,NA,NA,NA,"1993"
"169","160","SPEI",1993-06-10,"TLM",3,67.6,45.2,NA,NA,NA,NA,NA,"1993"
"170","160","SPEI",1993-06-10,"TLM",4,65.3,44.6,NA,NA,NA,NA,NA,"1993"
"171","160","SPEI",1993-06-10,"TLM",5,64.7,44.7,NA,NA,NA,NA,NA,"1993"
"172","160","SPEI",1993-06-10,"TLM",6,67.2,45.5,NA,NA,NA,NA,NA,"1993"
"173","163","SPEI",1993-06-12,"TLM",1,73.6,47.8,NA,NA,NA,NA,NA,"1993"
"174","163","SPEI",1993-06-12,"TLM",2,71.8,46.9,NA,NA,NA,NA,NA,"1993"
"175","163","SPEI",1993-06-12,"TLM",3,71,47.4,NA,NA,NA,NA,NA,"1993"
"176","165","SPEI",1993-06-15,"TLM",1,68,44.8,NA,NA,NA,NA,NA,"1993"
"177","165","SPEI",1993-06-15,"TLM",2,69,47,NA,NA,NA,NA,NA,"1993"
"178","166","SPEI",1993-06-17,"TLM",1,69.2,44.5,NA,NA,NA,NA,NA,"1993"
"179","166","SPEI",1993-06-17,"TLM",2,66.2,43.5,NA,NA,NA,NA,NA,"1993"
"180","166","SPEI",1993-06-17,"TLM",3,67.6,44.1,NA,NA,NA,NA,NA,"1993"
"181","201","SPEI",1993-05-24,"HMS",1,71.1,48,NA,NA,NA,NA,NA,"1993"
"182","201","SPEI",1993-05-24,"HMS",2,70.4,48.7,NA,NA,NA,NA,NA,"1993"
"183","201","SPEI",1993-05-24,"HMS",3,69.1,48.9,NA,NA,NA,NA,NA,"1993"
"184","201","SPEI",1993-05-24,"HMS",4,71.7,48.1,NA,NA,NA,NA,NA,"1993"
"185","201","SPEI",1993-05-24,"HMS",5,69.2,49,NA,NA,NA,NA,NA,"1993"
"186","208","SPEI",1993-05-28,"HMS",1,66.5,43.8,NA,NA,NA,NA,NA,"1993"
"187","208","SPEI",1993-05-28,"HMS",2,66.7,44.2,NA,NA,NA,NA,NA,"1993"
"188","208","SPEI",1993-05-28,"HMS",3,64.9,44,NA,NA,NA,NA,NA,"1993"
"189","208","SPEI",1993-05-28,"HMS",4,65.8,44.8,NA,NA,NA,NA,NA,"1993"
"190","210","SPEI",1993-05-30,"HMS",1,65.5,45.3,NA,NA,NA,NA,NA,"1993"
"191","210","SPEI",1993-05-30,"HMS",2,66.5,46.4,NA,NA,NA,NA,NA,"1993"
"192","210","SPEI",1993-05-30,"HMS",3,67.9,46,NA,NA,NA,NA,NA,"1993"
"193","210","SPEI",1993-05-30,"HMS",4,68.7,46.2,NA,NA,NA,NA,NA,"1993"
"194","210","SPEI",1993-05-30,"HMS",5,68,46.3,NA,NA,NA,NA,NA,"1993"
"195","210","SPEI",1993-05-30,"HMS",6,68.1,45.8,NA,NA,NA,NA,NA,"1993"
"196","212","SPEI",1993-05-30,"HMS",1,65.2,45.3,NA,NA,NA,NA,NA,"1993"
